Topic/Sector,Entity/Subject,Key Player/Organization,Timeline,Expected Impact/Value,Source,Latitude,Longitude,Broad_Category
AI / Technology,"Economic, financial, and social consequences of AI","Global businesses, AI firms, S&P 500 investors",2026,"The focus will shift from technological feats to real-world consequences; key indicator to watch is the rate of formal AI adoption by companies. Failure of adoption could cause AI stock valuations (P/E ratio 31 vs 19 for overall index) to deflate, wiping away trillions in wealth.",5,0.0,0.0,Technology & Science
International Development / Geopolitics,End of post-cold-war era of international development / Dramatic curtailing of aid spending,"USAID (dismantled by Donald Trump), 17 largest Western donors, OECD","2026 (impact becomes apparent)","Aid spending by 17 largest Western donors may be more than 25% lower in real terms than in 2024. Sub-Saharan Africa will be the worst-affected region; rough estimates suggest Trump's cuts put 1m lives at risk globally.",6,38.9072,-77.0369,Geopolitics & Conflict
Economics / Geopolitics,"Consequences of Donald Trump's economic policies (tariffs, deficits, low migration, Fed assault)","America (Donald Trump administration)","2026 (clarity about upending the economy will arrive)","Consequences will probably show up clearly in GDP and inflation figures. Americans will notice higher prices (tariffs making goods scarcer, low immigration limiting labour). Possible economic sugar-high from government spending/easier Fed policy might obscure full impact.",7,37.0902,-95.7129,Economy & Trade
Economics / Finance,Stockmarket Crash / AI Boom Falters,"American investors, AI-dependent companies","2026 (risk most likely to start in markets)","AI boom has stretched valuations; a crash could wipe away trillions of dollars in American households' wealth, seriously crimping spending.","5, 7",37.0902,-95.7129,Economy & Trade
Economics / Finance,Bond-Market Panic (due to high debt/deficits),"US government, Federal Reserve (Jerome Powell's retirement in May 2026, potential replacement with easy-money lackey)","2026 (conceivable risk, could crystallize around Fed chair replacement in May)","A severe, momentous crisis for the world's main issuer of safe assets, driven by fears of an inflationary default or financial repression.",7,0.0,0.0,Economy & Trade
Geopolitics / Technology,Clean Technology Dominance,China,"2026 (opportunity resulting from Trump's policy shifts)","China, already dominant in solar panels, wind turbines, and advanced batteries, increases influence as Trump cuts green subsidies and berates foreign governments for shunning fossil fuels.",8,35.8617,104.1954,Technology & Science
Geopolitics / Trade,Tariff-free access for African imports to China,"China (Xi Jinping), African nations (53 of them)","2026 (extended by China after Trump slapped 30% tariffs on South Africa)","Increases China's influence in Africa, contrasting with American protectionist policies.",8,35.8617,104.1954,Economy & Trade
Geopolitics / Diplomacy,India's engagement with China and Russia (Shanghai Co-operation Organisation meeting),"Narendra Modi (India), Vladimir Putin (Russia), Xi Jinping (China)","September 2025 (gathering hosted by China)","India edged closer to America previously; Trump's actions (demeaning Modi, punitive tariffs for buying Russian oil) pushed Modi to embrace China/Russia, despite India's suspicion of the grouping.",8,35.8617,104.1954,Geopolitics & Conflict
Geopolitics / Trade,Trump-Xi Summit (trade deal),"Donald Trump (America), Xi Jinping (China)","October 2025 (in South Korea)","Trump lowered tariffs in exchange for China agreeing to buy soyabeans and advanced chips from America, and to sell rare earths (all trades that suit China).",8,37.0902,-95.7129,Economy & Trade
Geopolitics / American Politics,Supreme Court rulings limiting Presidential power,"US Courts, Donald Trump","By the end of 2026 (possible scenario)","Courts put guard-rails around the president's ability to decide when to declare an emergency; presidency looks much less imperial than it seems now (e.g., restricting deployment of National Guard, constraining ICE).",9,38.9072,-77.0369,Geopolitics & Conflict
American Politics / Immigration,Bipartisan deal on immigration (pairing asylum law changes with increased high-skilled migration and more guest worker visas),"Donald Trump, US Congress (Republicans and centrist Democrats)","2026 (possible scenario, after closing southern border to irregular migration in first year)","The bill passes, despite resistance from MAGA immigration restrictionists.",9,38.9072,-77.0369,Geopolitics & Conflict
Energy / Technology,Increased investment and expanded capacity for solar and wind power,"Trump administration (cutting financial regulation, easing permitting), private investors","2026 (possible scenario)","Generating capacity from solar energy increases; wind power benefits from higher investment and expanded capacity.",9,0.0,0.0,Technology & Science
Geopolitics / Trade,Tariffs settlement,"US government, Supreme Court","2026 (possible scenario)","Tariffs settle at a rate higher than pre-Trump, but some predictability returns. Supreme Court helps by returning some power over tariffs to Congress.",9,0.0,0.0,Economy & Trade
Geopolitics / African Politics,Bogus national vote / Political transition,"Salva Kiir (South Sudan), Riek Machar (opponent)","2026 (possible, much delayed national vote)","Intended to appease foreign donors; far more likely to inflame country's many civil conflicts than tame them.",10,6.877,31.307,Geopolitics & Conflict
Geopolitics / African Politics,Elections in Ethiopia,"Abiy Ahmed (Prime Minister), ruling Prosperity Party","2026 (most significant bogus election)","Expected to be farcical; all chief rivals co-opted or imprisoned. Outcome could be scuppered by new war due to long-running insurgencies in Oromia/Amhara, or rising tensions with Eritrea over Red Sea ports.",10,9.145,40.4897,Geopolitics & Conflict
Gaming / Entertainment,Grand Theft Auto VI (GTA VI) launch,Rockstar Games / Not in source,"November (of 2026, inferred from context of 'coming year' which is 2026)","Expected to shatter sales records; analysts predict sales of more than $3bn in its first year, making it perhaps the single most valuable launch in entertainment history. Will boost console sales and may prompt an overdue price increase in software.",11,0.0,0.0,Culture & Entertainment
Gaming / Entertainment,Global consumer spending on games growth,Ampere Analysis (research firm),2026,Predicted to edge up by just over 2% (after growing less than 1% in 2025).,11,0.0,0.0,Culture & Entertainment
Gaming / Entertainment,Software consumption driven by Switch 2 console launch,"Nintendo, Ampere Analysis","First two years following June launch (which Ampere data supports being in 2025, thus 2026 is the second year)","Will drive $7bn-$ 8bn of software consumption.",11,0.0,0.0,Culture & Entertainment
Gaming / Entertainment,Creation of Minecraft-themed attractions,Merlin Entertainments (operates Legoland),2026 or 2027,"Adds real-life avenues for the hobby, focused on America and Britain.",11,37.0902,-95.7129,Culture & Entertainment
Gaming / Entertainment,Inaugural 'Esports Nations Cup',Not in source,November 2026,Not in source,11,0.0,0.0,Culture & Entertainment
Geopolitics / Conflict,Grey-zone provocations in northern Europe,Russia (Vladimir Putin),"2026 (will intensify)","To undermine Ukraine's defence by escalating threat perception among Europeans, forcing them to prioritise their own rearmament over supporting Ukraine. Includes cyber-attacks, sabotage, and drones over countries like Poland, Germany, and Denmark.",12,61.524,105.3188,Geopolitics & Conflict
Geopolitics / Conflict,European defence expenditure,"Europe, NATO members",2026,"Europe will spend more on defence than at any time since the cold war; rows expected over where extra money for defence and Ukraine will come from, as American contribution has dried up.","12, 13",54.526,15.2551,Geopolitics & Conflict
Politics / Europe,State elections in Saxony-Anhalt and Mecklenburg-Vorpommern,"Alternative for Germany (AfD), Christian Democrat Union (CDU)","September (2026, based on context of 'coming year')","A stern test for Germany's electoral 'firewall' against the hard-right AfD. If AfD wins an outright majority in either, it would be a 'political earthquake' across Europe.",14,51.1657,10.4515,Geopolitics & Conflict
Geopolitics / Trade,Chinese export surge (especially to Europe),"China (Xi Jinping), BYD (car champion)","2026 (potential overreach)","Exports to the rest of the world surged by 11% in the first nine months of 2025. Germany's annualised trade deficit with China was approaching $100bn by late 2025. If surge continues, it will trigger a panic over de-industrialisation in the West and more tariffs on Chinese goods. BYD plans to have 2,000 stores in Europe by late 2026.",15,35.8617,104.1954,Economy & Trade
Geopolitics / Conflict,"Aggressive grey-zone campaign against Taiwan (e.g., customs-inspections regime, short of embargo)","China (Xi Jinping), People's Liberation Army (PLA), Donald Trump","2026 (conditions may be better than any point in living memory for aggressive campaign)","Could have unpredictable effects in the Trump era by triggering a regional arms race by American allies afraid of abandonment, due to Trump's ambivalence about defending the island.",15,35.8617,104.1954,Geopolitics & Conflict
Geopolitics / Governance,China's 'Global Governance Initiative',China (Xi Jinping),"2026 (potential overreach)","Proposal to create new global rules on finance, AI, climate, and space, including a worldwide compulsory-licensing scheme for rare earths. Unpopular in democracies that fear dependency on autocratic China.",15,35.8617,104.1954,Geopolitics & Conflict
AI / Policy,China's next five-year plan on AI roll-out (called 'AI+'),China (Xi Jinping) / Government officials,"Next decade (formalised in March 2026 plan)","A three-stage roll-out: widespread AI use in six areas by 2027; AI as widespread as electricity/internet by 2030 (big driver of economic growth); and becoming an 'intelligent society' by 2035. Focus in 2026 will be on rapid adoption and adding AI to existing workflows, tailored to scenario-specific models.",16,35.8617,104.1954,Technology & Science
Semiconductors / AI,Chinese AI chip market share,"Huawei (Ascend chips), Cambricon, MetaX, Chinese government","2027 (forecast)","Chinese suppliers' share could exceed 50% of the market (which will be $71bn by then), up from two-fifths ($ 38bn) in 2025. Driven by government barring firms from using Nvidia's chips and Chinese designs improving performance/efficiency (e.g., adopting fp8 data format).",17,0.0,0.0,Technology & Science
Semiconductors / Manufacturing,Local production of AI chips (using older ASML tools),"Semiconductor Manufacturing International Corporation (SMIC), Huawei","2026 (expected to rise sharply)","SMIC plans to double capacity for chips at 7nm or below. Chinese fabs will turn out millions of AI chips, enough to cover much of domestic demand, despite lower yields than TSMC. A profound shift that shows America's attempts to hobble China are failing.",17,0.0,0.0,Technology & Science
Cultural Exports / Soft Power,Labubu (grimacing doll),"Pop Mart (company making the doll, based in China)","2025 (became a worldwide sensation), 2026 (cartoon series in the works)","Underlines extent to which Chinese creativity is making its way into mainstream Western consciousness. Pop Mart share price increased 400% over the past year.",18,35.8617,104.1954,Culture & Entertainment
Cultural Exports / Soft Power,Expansion of Chinese brands into Western markets,"Mixue (cold-drinks/ice-cream), Chagee (milk-tea brand)","2026 (expected to see new brands in cities worldwide)","Mixue and Chagee opening shops in America and elsewhere. Part of a revolution in creative IP production supported by the CCP.",18,37.0902,-95.7129,Culture & Entertainment
Policy / China,China's 15th five-year plan contents,"Chinese Communist Party (CCP), Xi Jinping","March 2026 (will be released, guiding government from 2026 to 2030)","Guaranteed to focus on: breaking technological 'strangleholds' (self-reliance), clean-energy projects and grid investments (emissions likely peaked in 2024), and tackling plummeting fertility rate (aiming to be a 'truly family-friendly society').",19,0.0,0.0,Geopolitics & Conflict
Commodities / Energy,Crude oil prices,"Gulf countries, Donald Trump (aiming to keep fuel prices low)",2026,"World will be 'swimming in petroleum' as Gulf countries restore output, keeping prices subdued (unless a fully enforced American blockade against Russian oil occurs).",20,38.9072,-77.0369,Economy & Trade
Commodities / Finance,Gold price per ounce,"Investors (retail and central banks), political uncertainty, high inflation in America",2026,"May well exceed $4,500, buoyed by instability, after surging past $4,000 an ounce in 2025.",20,37.0902,-95.7129,Economy & Trade
Commodities / Industrial Metals,Copper price volatility,"Global economy (hit by tariffs), electric car sales, Chinese factories",2026,"Will continue to be buffeted by volatile forces. Hit by tariffs and stronger dollar, but boosted if global electric car sales accelerate fast enough to devour vastly more copper, or if Chinese factories bounce back.",20,0.0,0.0,Economy & Trade
Business / Trade,American factory investment,Not in source,"12 months to July 2025","Fell by 5% (despite companies promising to invest to revive US manufacturing base).",21,37.0902,-95.7129,Economy & Trade
Business / Supply Chain,iPhone manufacturing shift for US-bound products,Apple,End of 2026,"Aims to move most of its American-bound iPhone manufacturing from China to India (as companies accelerate moving production out of China due to tariffs/chaos).",21,35.8617,104.1954,Economy & Trade
Business / Trade,Spending in America on lobbying,"Pharmaceutical firms (Bristol Myers Squibb, Eli Lilly), Nvidia, tariff-struck firms","2025 (first half, compared to 2024)","Rose by 12%. Pharma giants and Nvidia are on track to spend twice as much on lobbying in 2025 as in 2024, fretting about 2026.",21,37.0902,-95.7129,Economy & Trade
Politics / Brazil,"Brazilian General Election (presidential, vice-president, senators, governors, congress members)","Luiz Inácio Lula da Silva, centrist coalitions, right-wing governors (Tarcísio de Freitas, Ratinho Júnior, Ronaldo Caiado)","October 2026 (if no candidate receives more than 50% on Oct 4th, run-off on 25th)","May mark the return of moderation after a decade of polarisation, with candidates having to win over consolidating center-right coalitions and voters tiring of both hard right and left. Lula may struggle to win a fourth term.",22,-14.235,-51.9253,Geopolitics & Conflict
Geopolitics / American Policy,"More of America's forces leaving Europe, Asia and the Middle East",Donald Trump (US President),2026,"Part of Trump's impulse that America is uniquely powerful and 'doesn't need them'.",23,37.0902,-95.7129,Geopolitics & Conflict
Politics / France,Passage of 2026 budget for France,Sébastien Lecornu's minority centrist government,"2026 (possible scenario)","Requires support of parliamentary moderates. Lecornu must suspend Macron's pension reform while keeping centre-right support. Failure could lead to a political crisis.",24,46.2276,2.2137,Geopolitics & Conflict
Politics / France,Municipal elections (and potential legislative elections),"Emmanuel Macron, Marine Le Pen's National Rally (RN)","March (2026, for municipal elections)","If Macron fails to secure budget, political pressure to dissolve parliament and hold fresh legislative elections becomes irresistible. Polls suggest RN and allies could secure 250 seats, claiming the right to govern (Jordan Bardella as PM), leading to a spell of deepened uncertainty and potential civil disorder.",24,46.2276,2.2137,Geopolitics & Conflict
Defence / Manufacturing,Ammunition factory output at Unterlüss,Rheinmetall (Germany),2027,"Will rise to 350,000 rounds a year (up from 25,000 rounds in 2025), aiming to be 'the largest ammunition plant in Europe, if not the world'.",25,51.1657,10.4515,Geopolitics & Conflict
Defence / Industry,European defence spending increase,"McKinsey (consultancy), European governments",Between 2022 and 2028,Cumulative increase of €700bn-€800bn.,25,54.526,15.2551,Geopolitics & Conflict
Defence / Industry,Rheinmetall annual sales target,Rheinmetall (Germany),Not in source,"Aiming for €40bn-€50bn, which would catapult it into the big American league.",25,51.1657,10.4515,Geopolitics & Conflict
Economics / Europe,Europe GDP growth,Not in source,2026,"Will pick up a bit, driven by consumers slowly spending more as economic uncertainty subsides, and increased defence spending. Eurozone projected modest uptick to 1.2% (from 0.8% in 2025).","13, 26",54.526,15.2551,Economy & Trade
Economics / Europe,France's outsize deficit,France,2026,Around 5% of GDP; struggling to close it. Runs risk of a fiscal crisis but supports growth in the short term.,26,46.2276,2.2137,Economy & Trade
Economics / Global,World GDP growth,Economist Intelligence Unit (EIU),2026,"Subdued, ticking down to 2.4%. American tariffs, geopolitical strife, and policy uncertainty will hold back investment and trade.",27,37.0902,-95.7129,Economy & Trade
Economics / US Policy,Tariffs boosting America's underlying annual inflation rate,"Federal Reserve (Fed), Donald Trump administration",By spring of 2026,"Inflation rate likely boosted by about one percentage point, potentially making the Fed reluctant to cut interest rates as much as markets hope.",28,37.0902,-95.7129,Economy & Trade
Economics / US Policy,Federal Reserve Chair replacement,"Jerome Powell (current chair, due to step down in May 2026), Chris Waller (likely replacement), Donald Trump",May 2026,"Could set off a succession drama, casting doubt on the central bank's long-term inflation-fighting credibility if Trump chooses a partisan replacement. Powell may stay on as governor until 2028 to preserve independence.",28,38.9072,-77.0369,Economy & Trade
Economics / Currency,New pennies cease circulating,The Mint (US),Early 2026,"Not in source (The decision was based on it costing 3.69 cents to make each penny in 2024, costing $85m a year).",29,0.0,0.0,Economy & Trade
Energy / Clean Tech,Geothermal power supply to the grid (largest-ever commercial contract),"Fervo Energy, Southern California Edison (utility)","2026 (start delivering energy)","Fervo is contracted to supply 320 megawatts of power to Southern California Edison. Marks the start of the great geothermal renaissance.",30,0.0,0.0,Environment & Energy
Geopolitics / UK-EU Relations,Five-yearly review of the Trade and Co-operation Agreement (Brexit deal),"Britain (Sir Keir Starmer's Labour government), European Union","2026 (anniversary of referendum and moment for review)","Sir Keir's government is pursuing pragmatic ways to move closer to the EU, potentially by aligning with EU food and phytosanitary standards, and signing up to common energy and environmental rules, bolstered by geopolitical necessity (Russia, Trump, Middle East tensions).",31,55.3781,-3.436,Geopolitics & Conflict
Geopolitics / Trade,"EU trade agreements (Mercosur, Indonesia, India, UAE)","European Union, Mercosur, Indonesia, India, UAE","Early 2026 (hopes for India and UAE deals)","Countries racing to lock in long-term access through free-trade agreements due to Trump's tariffs. EU sealed a deal with Indonesia and hopes to do the same with India and the UAE by early 2026.",32,54.526,15.2551,Economy & Trade
Entertainment / Film,Christopher Nolan's version of Homer's 'The Odyssey',"Christopher Nolan (film-maker), Hollywood","July 2026 (opens in cinemas)","Hollywood epic, presented as a parable for the modern age with lessons on war, mass migration, and technology.",33,34.0928,-118.3287,Culture & Entertainment
Space / Exploration,Artemis II mission (sending astronauts around the Moon),NASA,"February 2026 (intended date of launch)","Second flight of the Space Launch System (SLS) and first with crew aboard Orion spacecraft; a ten-day mission to test spacecraft/life-support, paving the way for Artemis III (crewed lunar landing).",34,0.0,0.0,Technology & Science
Space / Commercial,Launch of Haven 1 (world's first commercial space station),"Vast (startup based in Long Beach, California)","May 2026 (launch date); first crew launch a few months later (spend two weeks)","Habitable volume of 45 cubic metres, available for government/private-sector use; host four missions total, intended to be in orbit for three years. Positioned as a replacement for the ISS after 2030.",34,0.0,0.0,Technology & Science
Space / Exploration,Mars mission (uncrewed Starship),SpaceX (Elon Musk),"2026 (hopes to make its most ambitious move; Earth and Mars lined up for launch)","Not in source (if he misses it, next opportunity is 2028).",34,0.0,0.0,Technology & Science
Space / Exploration,Chang'e 7 mission (lunar exploration),China,Late 2026,"Consists of an orbiter, lander, rover, and scout spacecraft. Lander will touch down on Shackleton crater rim to investigate permanent shadows nearby, gathering data for a future lunar base.",34,35.8617,104.1954,Technology & Science
Politics / Europe,Hungarian election,"Viktor Orban (Fidesz party), Peter Magyar (Tisza party)",Spring (2026),"Orban's first serious electoral challenge in over a decade; if he loses, it could help unblock the EU from his repeated vetoes on sanctions and Ukraine talks. Provides lessons on strongman incumbents facing electoral challenges in hollowed-out democracies.",35,47.1625,19.5033,Geopolitics & Conflict
Defence / Policy,NATO defence-spending target compliance,"NATO members, Germany (Friedrich Merz)","2026 / By 2029 (for Germany hitting new target)","New target set at 3.5% of GDP (up from 2%). Germany has laid out a path to use deficit exemption to hit the new target as early as 2029.",13,51.1657,10.4515,Geopolitics & Conflict
Climate Policy / Europe,EU's Carbon Border Adjustment Mechanism (CBAM) enforcement,"European Union, hard-right parties","2026 (supposed to come into force)","Imposes tariffs on carbon-intensive imports. Meeting resistance; calls to water it down, particularly if the hard-right National Rally wins a parliamentary election in France.",13,54.526,15.2551,Environment & Energy
Demographics / India,India's new census (dwelling data collection),"Indian government, enumerators","April 2026 (officials collect data on every dwelling)","Colossal undertaking, unusually important due to 16-year delay. Forms bedrock of policymaking; fresh figures should enable vast improvement in targeting welfare schemes, services, and infrastructure.",36,20.5937,78.9629,Health & Society
Demographics / Politics / India,Redistricting parliamentary constituencies (expected after census),Indian government (Modi's Bharatiya Janata Party),"2026 (pause expires) / After census completion (expected)","Expected to redistribute seats (and potentially increase their number). Would enable cities (economic engines) to demand more attention/funding, and cede political power from richer southern states to poorer, more populous north. Pundits say this would cement dominance of Modi's party.",36,20.5937,78.9629,Health & Society
Economics / India,India overtakes Japan as world's fourth-largest economy (in financial year close),Not in source,"Early 2026 (By the close of the financial year in March)","Milestone showing tremendous progress (was not in top ten at start of century). IMF reckons it will trail only America and China by 2030.",37,20.5937,78.9629,Economy & Trade
Finance / Global,Advanced economies' debt-to-GDP ratio,Not in source,2026,Will exceed 110%.,38,0.0,0.0,Economy & Trade
Politics / Israel,Next Israeli election,"Binyamin Netanyahu (Prime Minister), hard-right and ultra-religious parties",By the end of October (2026),"Netanyahu's bloc is trailing in polls, but he can dictate the security agenda to his benefit. If he cannot convince voters he won in Gaza, he will try to distract them with a culture war over Israel's democracy.",39,31.0461,34.8516,Geopolitics & Conflict
Arts / Culture,Lucas Museum of Narrative Art opening,George Lucas,"2026 (opens at last)","Will house auteur's art collection and archive (40,000 objects), including paintings, comic strips, storyboards, models, and costumes. A 'temple' to stories told through illustration.",40,0.0,0.0,Culture & Entertainment
Arts / Culture,Guggenheim outpost in Abu Dhabi opening,Guggenheim,"2026 (finally hoping to open)","Will consider modernism from a global perspective; collection includes works by Yayoi Kusama and Monir Shahroudy Farmanfarmaian.",40,24.4539,54.3773,Culture & Entertainment
Arts / Culture,Kanal (Pompidou Centre satellite institution) opening,Pompidou Centre,November 2026,"Located in a former Citroën garage in Brussels; focus on 20th and 21st-century art and will host spoken-word nights, film screenings, and concerts to boost attendance.",40,50.8503,4.3517,Culture & Entertainment
Space / Military,Golden Dome missile-defence shield (plan comes into sharper focus),"Donald Trump (US President), US Space Force","2026 (Trump's vision may come into sharper focus)","Requires a 40% boost for the US Space Force in the 2026 fiscal year budget request. Possible construction of new interceptors or plans for space-based lasers (both hugely expensive).",41,38.9072,-77.0369,Technology & Science
Politics / El Salvador,Consolidation of dictatorship,Nayib Bukele (President),2026,"Bukele will consolidate his dictatorship, facing no international check due to Trump's backing. Likely to become more brazen in repression, with observers watching economic stability (IMF loan may entail spending cuts) and whether popularity falls (currently around 80%).",42,13.7942,-88.8965,Geopolitics & Conflict
American Politics / Immigration,"Mass deportation campaign (Phase 2, groundwork laid in 2025)","Donald Trump administration, Immigration and Customs Enforcement (ICE)",2026,"A dollop of cash from the One Big Beautiful Bill Act will fund more immigration agents, detention centres, removal flights, and surveillance tech. Old prisons/tent camps will reopen/be built. Raids and arrests will become common in Democrat-run cities. Potential labour shock (worries about ICE raids keeping workers home).",43,38.9072,-77.0369,Geopolitics & Conflict
Geopolitics / Syria,Lifting of international sanctions,"Ahmed al-Sharaa (Syria's new leader), Washington hawks","Early 2026 (probably)","Syria's new leader has staked political capital on this. International banks are on standby and export agreements are being readied. However, little rebuilding has happened, and pace is glacial. Sharaa needs to deliver tangible change or risk turning people against him.",44,34.8021,38.9968,Geopolitics & Conflict
Industry / Trade,Global trade growth,Economist Intelligence Unit (EIU),2026,Grows by less than 2% as American protectionism affects industries.,27,37.0902,-95.7129,Economy & Trade
Automotive / Clean Tech,Global electric-car sales expansion,China (in the driving seat),2026,"Expanding by 15% globally (to 24m), with China accounting for over half. American anti-green turn stalls new electric models plans for other carmakers. American EV sales will rise by just 2%.",27,35.8617,104.1954,Technology & Science
Sport / Entertainment,"Big sporting events (men's football World Cup in North America, Winter Olympics/Paralympics)",Not in source,2026,"Push sports spending to $450bn, lift ad revenues by 6%, and add to the $1.8trn spent on tourism.",27,37.0902,-95.7129,Culture & Entertainment
Commodities / Clean Tech,Metal prices climb,Clean tech manufacturing,2026,"Climb by 7%, with nickel, copper, and zinc among the beneficiaries. 'Green' steel (recycling scrap) also in demand. Nickel prices will rise by 13%.",27,0.0,0.0,Environment & Energy
Defence / Expenditure,Defence spending global total,"NATO members, America",2026,"Hits $2.9trn, with America alone shelling out over $1trn.",27,37.0902,-95.7129,Geopolitics & Conflict
Health Care / Pharmaceuticals,Pharmaceutical sales total,Not in source,2026,"Increase to $1.6trn, swelled by obesity drugs.",27,0.0,0.0,Health & Society
Retail / Economics,Retail sales growth (real growth),Not in source,2026,"Grows by just 2% as consumer confidence wobbles amid global uncertainty. Online shops hurt by tariffs, chilling demand for warehouse space.",27,0.0,0.0,Economy & Trade
Energy / Clean Tech,Renewable energy share of power generation (excluding hydropower),Not in source,2026,"Makes up 30% of power generation worldwide, surpassing coal's share.",27,0.0,0.0,Environment & Energy
Finance / Regulation,Sustainability reporting becomes mandatory,"China, Japan, Brazil, EU","2026 (From January, in EU)","EU will also impose carbon border-adjustment rules. California will compel climate reporting, but anti-green sentiment will rule in many US states.",27,35.8617,104.1954,Economy & Trade
Health Care / Demographics,Proportion of Japan's population over 65 years old,Japan,2026,Reaches a landmark as those over 65 exceed 30% of the population (Japan has nearly three times as many oldies as children).,27,36.2048,138.2529,Health & Society
Health Care / Policy,America (with Argentina) quits the World Health Organisation (WHO),"Donald Trump administration, WHO","2026 (imminent impact)","Slashing WHO funds by 15%. AIDS programmes and childhood vaccinations could stall, allowing diseases to proliferate.",27,38.9072,-77.0369,Health & Society
Infrastructure / Investment,Gross fixed investment (proxy for infrastructure spending),Not in source,2026,Will rise by 6% to over $30trn. Nearly half of spending will be in Asia.,27,0.0,0.0,Economy & Trade
Media / Entertainment,Golden Globes accept nominations for 'best podcast',Golden Globes,2026,Recognizing the rise of canned radio; podcast-ad spending expected to exceed $5.5bn (WARC Media forecast).,27,0.0,0.0,Culture & Entertainment
Property / Commercial,Hotel openings globally,Not in source,2026,"Over 2,500 are set to open.",27,0.0,0.0,Economy & Trade
Shipping / Trade,Shortfall of trained seafarers,International Chamber of Shipping (industry body),"By 2026 (expected)","Shortfall of 90,000 trained seafarers due to Russians/Ukrainians fighting and geopolitical tensions making the profession less alluring.",27,0.0,0.0,Economy & Trade
AI / Policy,EU's strict AI Act enters into full force,European Union,August (2026),Regulators will struggle to keep pace with technology's progress.,27,54.526,15.2551,Technology & Science
AI / Workforce,Workers trained to work with AI needed,"India, Cognizant (American consultancy)","By 2026 (for India)","India alone will need 1m workers trained to work with AI. Cognizant pledges to train 1m people globally.",27,20.5937,78.9629,Technology & Science
Semiconductors / AI,Most advanced semiconductors (two-nanometer chips) production,TSMC (Taiwan's foundry),2026,"Could boost computing speeds by 10-15%. TSMC will hasten to open its second facility in America.",27,37.0902,-95.7129,Technology & Science
Tourism / Global,International travellers (number and spending),Not in source,2026,"A record 2bn international travellers will spend $1.8trn. A quarter of them hailing from China and America.",27,35.8617,104.1954,Culture & Entertainment
Tourism / Global,Visits to America (rise in number),Not in source,2026,"Will rise by just 2%, curbed by border controls and high prices, although football fans may flock to the World Cup in North America.",27,37.0902,-95.7129,Culture & Entertainment
